dataid,paper_id,数据标识,应用部位,非空字段数,创建时间,更新时间
,,耐磨材料综述-未指定配对,,2,,
,,CoCr-CFR PEEK摩擦磨损实验,髋关节,12,,
,,CoCrMo-PEEK扭转微动摩擦磨损,,10,,
,,CoCrMo-UHMWPE摩擦磨损对比,,7,,
,,CoCrMo-UHMWPE不同腐蚀电位摩擦磨损实验,,8,,
,,Ti6Al4V/Ti6Al4V摩擦腐蚀实验,,6,,
,,CoCrMo/Ti6Al4V摩擦腐蚀实验,,8,,
,,CoCrMo/CoCrMo摩擦腐蚀实验,,8,,
,,CoCrMo-高交联UHMWPE扭转摆动摩擦腐蚀实验,膝关节,7,,
,,CoCrMo-PEEK扭转摆动摩擦腐蚀实验,膝关节,6,,
,,锻造CoCrMo-锻造CoCrMo摩擦腐蚀实验,人工关节,10,,
,,全髋关节置换术综述,髋关节,3,,
,,,膝关节,2,,
,,,,2,,
,,HC CoCrMo与Si3N4在牛血清中摩擦腐蚀实验,髋关节,13,,
,,HC CoCrMo与Si3N4在NaCl溶液中的摩擦腐蚀实验,髋关节,12,,
,,LC CoCrMo与Si3N4在牛血清中摩擦腐蚀实验,髋关节,12,,
,,LC CoCrMo与Si3N4在NaCl溶液中摩擦腐蚀实验,髋关节,12,,
,,316L不锈钢与Si3N4在牛血清中摩擦腐蚀实验,髋关节,11,,
,,316L不锈钢与Si3N4在NaCl溶液中摩擦腐蚀实验,髋关节,10,,
,,PEEK-Ti6Al4V锥度连接摩擦腐蚀实验,髋关节,12,,
,,CoCrMo-Ti6Al4V锥度连接摩擦腐蚀实验,髋关节,13,,
,,PEEK-陶瓷人工关节研究综述,髋关节,7,,
,,ZrO2/HAP复合材料-人工关节,髋关节,9,,
,,PEEK-OPTIMA细胞毒性测试,,3,,
,,PE材料细胞毒性对比测试,,3,,
,,PEEK-UHMWPE销盘磨损实验,,6,,
,,CFR-PEEK/UHMWPE销盘磨损实验,,6,,
,,金属材料表面非晶碳基纳米多层膜耐磨性研究,,4,,
,,膝关节假体参数化设计研究,膝关节,3,,
,,,,1,,
,,金属盘-UHMWPE销磨损实验,膝关节,6,,
,,Metal-Polymer髋关节摩擦腐蚀实验,髋关节,12,,
,,PEEK/ZnO-XLPE摩擦磨损实验,膝关节,12,,
,,CF/PEEK往复摩擦实验,膝关节,11,,
,,膝关节CF/PEEK复合材料摩擦实验,膝关节,12,,
,,,,1,,
,b3_5_人工关节金属假体材料界面间的摩擦腐蚀行为_张鑫,金属假体材料-扭动微动摩擦腐蚀机理研究,髋关节,11,,2025-11-03 03:21:30
,b2_2_表面纹理对钴铬钼聚乙烯磨损的影响,微织构CoCrMo-HXPE多向磨损实验,髋关节,15,,
,b2_3_取出固定和活动PE膝关节假体的磨损,Miller-Galante固定平台-UHMWPE髋关节磨损分析,膝关节,10,,2025-11-03 06:31:42
,b1_3_CoCrMo摩擦腐蚀行为,锻造CoCrMo合金-氧化锆陶瓷球摩擦腐蚀实验-60N,髋关节,16,,2025-11-03 06:31:42
,b1_1_人工髋关节头颈典型材料界面间球盘微动腐蚀试验研究_吴东升,CoCrMo-Ti6Al4V头颈界面微动腐蚀实验-开路电位,髋关节,9,,2025-11-03 06:31:42
,CoCrMo摩擦腐蚀行为,锻造CoCrMo合金-ZrO2陶瓷球摩擦腐蚀实验-60N,髋关节,16,,2025-11-03 06:31:42
,CoCrMo与钛合金界面微动腐蚀,CoCrMo-CoCrMo微动腐蚀实验,,11,,2025-11-03 06:31:42
,b1_9_CoCrMo合金与PEEK..,CoCrMo-PEEK膝关节摩擦腐蚀实验,膝关节,17,,2025-11-03 06:31:42
,b2_1_取出组合膝关节界面腐蚀,NexGen膝关节模块化界面腐蚀与微动研究,膝关节,10,,
,PEEK-Ti减缓CoCr-Ti微动腐蚀,CoCrMo-Ti6Al4V髋关节锥颈微动腐蚀实验,髋关节,13,,2025-11-03 06:31:42
,CoCrMo_UHMWPE...粒的分形表征及形态分类研究_崔文,CoCrMo-UHMWPE摩擦腐蚀实验,髋关节,15,,
,b1_8_钴铬钼与不锈钢的缝隙腐蚀,CoCrMo合金-生理盐水缝隙腐蚀实验,髋关节,11,,2025-11-03 06:31:42
,CoCrMo合金与PEEK...工膝关节组合的摩擦腐蚀行为_刘栋梁,CoCrMo-PEEK膝关节摩擦腐蚀实验,膝关节,16,,2025-11-03 06:31:42
,b1_6_PEEK材料用于关节置换综述,PEEK-UHMWPE掌指关节模拟器磨损测试,掌指关节,9,,2025-11-03 06:31:42
,CFR PEEK and CoCr 加速CoCr磨损,CFR PEEK-CoCr摩擦磨损实验-多接触应力-SuperCTPOD,髋关节,16,,2025-11-03 06:31:42
,b1_4_peek_particle炎性反应风险低于聚乙烯particle,PEEK-OPTIMA-UHMWPE颗粒巨噬细胞反应性实验-10μm,,12,,2025-11-03 06:31:42
,b1_6_表面能对蛋白吸收的影响,CoCrMo合金表面能与BSA蛋白吸附实验,髋关节和膝关节,13,,
,b2_2_个性化人工膝关节设计及其生物力学特性研究_马妮,人工膝关节置换术后下蹲动力学分析,膝关节,10,,2025-11-03 06:31:42
,b2_10_蛋白对钴铬钼缝隙腐蚀的影响,CoCrMo合金缝隙腐蚀实验-0.07mm缝宽,髋关节,9,,2025-11-03 06:31:42
,b2_1_钴铬钼表面钝化,CoCrMo合金在0.9% NaCl+BSA溶液中的摩擦腐蚀实验,,11,,2025-11-03 06:31:42
,b1_3_人工膝关节接触力学与磨损仿真研究_高勇涛,CoCrMo-PEEK膝关节扭动和摆动摩擦腐蚀实验,膝关节,10,,2025-11-03 06:31:42
,b1_5_peek_纤维增强peek,30%沥青基CFR-PEEK对氧化锆球窝式髋关节模拟器实验,髋关节,10,,2025-11-03 06:31:42
,PEEK材料用于关节置换综述,EnduRo旋转铰链膝关节CFR-PEEK衬套实验,膝关节,11,,2025-11-03 06:31:42
,b1_5_离子注入CoCrMo合金表面,CoCrMo合金氮离子注入表面改性实验,,14,,
,b1_9_医用钴基合金的生物磨蚀行为研究_王忠维,CoCrMo合金-PBS+BSA溶液摩擦腐蚀实验-喷丸处理,,9,,2025-11-03 06:31:43
,b1_2_CoCrMo与钛合金界面微动腐蚀,CoCrMo-CoCrMo微动腐蚀实验,,11,,2025-11-03 06:31:43
,MOM tribofilm on CoCrMo,316L不锈钢-Si3N4往复摩擦腐蚀实验,髋关节,15,,2025-11-03 06:31:43
,b2_10_胫骨平台设计对膝关节聚乙烯垫块背面磨损的影响,膝关节聚乙烯内衬背侧磨损研究-抛光钛基板部分周边捕获,膝关节,9,,2025-11-03 06:31:43
